	round_number	emotion	text_id	timestamp	prolific_id	anger	boredom	disgust	fear	guilt	joy	pride	relief	sadness	shame	surprise	trust	generated_text	hidden_emo_text	event_duration	emotion_duration	intensity	confidence	suddenness	familiarity	predict_event	pleasantness	unpleasantness	goal_relevance	chance_responsblt	self_responsblt	other_responsblt	predict_conseq	goal_support	urgency	self_control	other_control	chance_control	accept_conseq	standards	social_norms	attention	not_consider	effort	previous_participation	age	gender	education	ethnicity	extravert	critical	dependable	anxious	open	quiet	sympathetic	disorganized	calm	conventional	did_you_lie?	original_demographics
3670	round-3	pride	3832	2021/09/03 9:25:18 pm EET	2c0dcf6ab7c40921f0150f31ce6f5182	1	1	1	1	1	3	3	3	1	1	1	3	I went to view my new university accomidation	I went to view my new university accomidation	hours	weeks	5	5	3	1	4	5	1	5	3	4	2	5	5	4	2	4	1	4	1	1	5	1	5	No, I participated before and answered the next set of questions.	18	Female	Don't know / not applicable	European	6.0	6.0	6.0	2.0	6.0	2.0	5.0	2.0	4.0	2.0	--	COPIED FROM: text id 3627
1300	round-4	disgust	4465	2021/09/20 1:20:30 am EET	1c6a8eb893404edeb58981b5f8b084bb	1	1	1	1	1	1	1	1	2	1	1	1	I felt disgust when I went into my car after leaving a cup in the car in the heat and the smell of the milk curdling was there	I felt ... when I went into my car after leaving a cup in the car in the heat and the smell of the milk curdling was there	minutes	minutes	4	5	4	2	4	2	4	1	4	4	1	3	1	5	5	1	1	4	4	1	4	2	2	No, I participated before and answered the next set of questions.	22	Female	No formal qualifications	European	5.0	3.0	6.0	6.0	5.0	5.0	6.0	3.0	6.0	5.0	--	COPIED FROM: text id 4147
95	round-3	anger	362	2021/09/03 4:13:31 pm EET	35329ebc672688e893691f04f2fb2cde	1	2	1	1	2	2	1	1	1	2	1	3	my laptop was stolen last year	my laptop was stolen last year	minutes	weeks	5	5	5	1	1	1	5	5	4	1	5	1	1	5	1	5	3	1	5	5	5	1	5	No, I participated before and answered the next set of questions.	29	Male	Undergraduate degree (BA/BSc/other)	European	2.0	3.0	3.0	1.0	7.0	7.0	5.0	5.0	6.0	6.0	--	COPIED FROM: text id 312
4117	round-7	pride	7132	2021/11/10 12:26:19 am CET	5e156cc1a36cab5c71a9971b42d45c6f	1	1	1	1	1	1	1	1	1	1	1	1	the first time I landed in America, because it had been a childhood dream that I finally managed to realise	the first time I landed in America, because it had been a childhood dream that I finally managed to realise	days	days	4	3	3	2	4	5	1	4	1	5	2	5	5	5	5	1	1	5	1	1	4	1	2	Yes, first time, I will answer the following questions.	39	Female	Graduate degree (MA/MSc/MPhil/other)	European	5.0	3.0	7.0	4.0	6.0	5.0	6.0	1.0	5.0	4.0	The event really happened in my life.	ORIGINAL
4560	round-5	relief	51978	2021/10/06 6:14:33 pm EET	98421aa7893a4da72895be81b560213d	1	1	1	2	1	2	2	1	3	1	1	1	I thought I would have to repeat a University module due to failing it, but for some reason I was allowed to move forward with the fail grade without it affecting my final results.	I thought I would have to repeat a University module due to failing it, but for some reason I was allowed to move forward with the fail grade without it affecting my final results.	minutes	hours	5	3	5	2	1	5	1	4	2	2	3	1	5	4	1	2	1	5	1	1	5	1	3	No, I participated before and answered the next set of questions.	21	Female	Undergraduate degree (BA/BSc/other)	European	5.0	3.0	4.0	6.0	4.0	3.0	6.0	3.0	3.0	3.0	The event really happened in my life.	COPIED FROM: text id 389
1442	round-5	disgust	5557	2021/10/06 2:26:10 pm EET	2bb2aab01c4ea9cc9b3783e6ce4bc7ce	1	2	1	1	1	2	2	2	1	1	1	3	my brother talked about his poop while we were eating dinner	my brother talked about his poop while we were eating dinner	minutes	seconds	4	5	4	3	3	2	4	2	1	1	5	4	1	4	3	4	1	3	4	1	2	3	2	Yes, first time, I will answer the following questions.	22	Female	High school	East Asian	4.0	3.0	4.0	4.0	5.0	5.0	5.0	5.0	6.0	3.0	The event really happened in my life.	ORIGINAL
1440	round-5	disgust	5554	2021/10/06 2:25:24 pm EET	e530bc78ba7c186c1810cfe62714540b	1	2	1	1	1	4	3	3	2	2	1	3	I woke up and realized my dog had puked on my bed and it had also got all over the floor	I woke up and realized my dog had puked on my bed and it had also got all over the floor	minutes	minutes	3	5	5	2	2	1	5	2	2	1	4	2	1	5	2	5	2	2	4	1	5	3	4	Yes, first time, I will answer the following questions.	20	Female	High school	North American	2.0	5.0	5.0	5.0	5.0	6.0	6.0	5.0	1.0	3.0	The event really happened in my life.	ORIGINAL
5451	round-5	shame	52389	2021/10/06 3:40:56 pm EET	0001f9db4fb3039363cdef36e02508de	1	2	1	1	1	1	1	1	2	1	1	1	I tried to quite smoking and failed	I tried to quite smoking and failed	days	days	5	4	1	2	3	1	4	4	1	4	1	4	4	2	3	1	1	3	4	1	4	2	4	No, I participated before and answered the next set of questions.	31	Female	Graduate degree (MA/MSc/MPhil/other)	European	6.0	5.0	5.0	6.0	5.0	2.0	4.0	2.0	6.0	1.0	The event really happened in my life.	COPIED FROM: text id 51123
5516	round-2	surprise	2202	2021/07/20 8:06:29 pm EET	2fbef97d89a05cfd623bc37ddd434d5f	1	5	1	2	1	2	1	1	1	1	1	1	I found out my exam results	I found out my exam results	seconds	minutes	5	5	5	5	2	5	2	5	1	4	2	4	4	2	1	2	3	2	2	1	4	1	3	Yes, first time, I will answer the following questions.	21	Female	Undergraduate degree (BA/BSc/other)	South Asian	3.0	4.9	5.4	4.1	5.7	5.1	5.4	3.0	5.1	2.9	--	AVERAGED: text id 246, 265, 294, 2116, 2137, 2173, 2202
6509	round-5	trust	52785	2021/10/06 6:04:08 pm EET	6b5b32a05a05260eb21f169a923ddfd8	1	2	1	1	1	3	3	2	1	1	3	4	My best friends supported me through tough times	My best friends supported me through tough times	hours	weeks	5	4	2	5	5	5	1	4	5	1	5	4	5	5	5	5	3	5	1	1	5	2	5	No, I participated before and answered the next set of questions.	23	Female	Secondary education	European	4.3	7.0	7.0	5.7	6.0	6.3	7.0	3.0	5.3	6.7	The event really happened in my life.	AVERAGED: text id 51494, 51772, 52003
3961	round-5	pride	51781	2021/10/06 5:13:49 pm EET	cae6613fb32f812e9922d092fa29d58a	1	1	1	1	1	2	1	1	1	1	1	1	my name was called out as I walked on stage for my university graduation.	my name was called out as I walked on stage for my university graduation.	minutes	days	4	4	2	1	4	5	1	5	1	5	3	5	5	5	4	4	1	5	1	1	5	1	3	No, I participated before and answered the next set of questions.	35	Female	Undergraduate degree (BA/BSc/other)	European	3.0	4.0	6.0	6.0	6.0	5.0	7.0	1.0	4.0	3.0	The event really happened in my life.	COPIED FROM: text id 5505
6239	round-4	trust	41817	2021/09/20 1:09:57 am EET	3751e0914a532e0da1922f0688d882af	1	3	1	2	1	3	3	4	2	1	2	3	I felt trust when someone reached out to me to let me know that justice had occurred in my previous place of employment and that my working directly with HR had made a positive impact because he and I had talked previously about it. He had shared with me that he was trying and failing to work on the problem person so that he would change how he was treating others. Furthermore, this person talked to me about how he had changed for the better - the hard work that he had put into it and why he was the way he was before. I was directly impacted by the ways that he had changed positively. When he told me what had happened, and that this other person had been demoted, I felt elated for him and his team, and I trust him more.	I felt ... when someone reached out to me to let me know that justice had occurred in my previous place of employment and that my working directly with HR had made a positive impact because he and I had talked previously about it. He had shared with me that he was trying and failing to work on the problem person so that he would change how he was treating others. Furthermore, this person talked to me about how he had changed for the better - the hard work that he had put into it and why he was the way he was before. I was directly impacted by the ways that he had changed positively. When he told me what had happened, and that this other person had been demoted, I felt elated for him and his team, and I ... him more.	minutes	days	3	4	2	5	1	3	4	4	1	3	5	2	1	1	4	5	4	5	3	5	5	5	4	Yes, first time, I will answer the following questions.	34	Female	Graduate degree (MA/MSc/MPhil/other)	European	6.0	3.0	7.0	5.0	7.0	5.0	6.0	5.0	5.0	1.0	--	ORIGINAL
5497	round-6	shame	6964	2021/11/01 9:43:58 pm CET	38bc0220b98aa8b509cea77a3f83fdb4	1	1	1	1	1	1	1	1	1	1	1	1	I had sex with someone who ended up having a swastika tattooed on their back. I did not see it at any point before, I didn't get any hint of them being racist, or a, you know, neo-nazi. I just had sex with someone I had been talking to for a bit, and when they went and got up to put their shirt back on, I saw it. I don't think I've ever felt so much shame within myself for somehow not noticing. It was horrific.	I had sex with someone who ended up having a swastika tattooed on their back. I did not see it at any point before, I didn't get any hint of them being racist, or a, you know, neo-nazi. I just had sex with someone I had been talking to for a bit, and when they went and got up to put their shirt back on, I saw it. I don't think I've ever felt so much ... within myself for somehow not noticing. It was horrific.	minutes	weeks	5	5	5	1	1	1	5	1	5	5	5	1	1	5	1	3	1	1	5	5	5	5	5	No, I participated before and answered the next set of questions.	27	Female	High school	North American	5.0	6.0	5.0	4.0	7.0	1.0	2.0	3.0	4.0	1.0	The event really happened in my life.	COPIED FROM: text id 6192
6078	round-3	trust	31401	2021/09/03 10:45:27 pm EET	79088521ba0f8893e257d0abcf4f4552	1	5	2	2	1	5	5	1	2	2	2	2	I see my girl	I see my girl	weeks	weeks	5	5	1	5	5	5	1	1	1	5	5	5	5	1	5	5	5	5	5	1	5	1	3	No, I participated before and answered the next set of questions.	19	Male	High school	North American	7.0	7.0	3.0	5.0	7.0	6.0	5.0	5.0	4.0	3.0	--	COPIED FROM: text id 3927
5645	round-4	surprise	41613	2021/09/20 12:51:08 am EET	c69a3bc4a3fabb3b56d7ed96e1478f8e	1	1	1	1	1	3	2	2	1	1	1	1	I had a surprise party	I had a surprise party	hours	minutes	5	5	4	1	2	5	1	5	4	3	5	3	5	5	3	5	1	1	4	1	5	1	4	No, I participated before and answered the next set of questions.	28	Male	Undergraduate degree (BA/BSc/other)	European	1.0	1.0	5.0	1.0	4.0	1.0	5.0	1.0	5.0	1.0	--	COPIED FROM REJECTED: text id 41918
5082	round-5	sadness	52213	2021/10/06 6:17:59 pm EET	34e2c4539312b61e3c5520f800f248f7	1	1	1	1	1	1	1	1	1	1	1	1	When I started to feel my fibromyalgia symptoms returning after a prolonged period of being medication/pain free. I had been able to live a more normal lifestyle during and for a few months after pregnancy, when recently I started waking up more often with the old familiar aches of my fibro, followed by periods of fatigue and exhaustion. After being free from those restrains for so long, it hit me hard that I would have to go back to pacing myself, taking multiple medications in order to function and not be able to run around with my children as much as I would like anymore.	When I started to feel my fibromyalgia symptoms returning after a prolonged period of being medication/pain free. I had been able to live a more normal lifestyle during and for a few months after pregnancy, when recently I started waking up more often with the old familiar aches of my fibro, followed by periods of fatigue and exhaustion. After being free from those restrains for so long, it hit me hard that I would have to go back to pacing myself, taking multiple medications in order to function and not be able to run around with my children as much as I would like anymore.	weeks	weeks	5	5	1	5	2	1	5	3	4	1	1	3	1	1	2	1	5	3	2	1	1	5	5	No, I participated before and answered the next set of questions.	31	Female	Secondary education	European	4.0	1.0	6.0	5.0	6.0	6.0	7.0	3.0	5.0	1.0	The event really happened in my life.	COPIED FROM: text id 51658
6554	round-6	trust	61058	2021/11/01 9:59:56 pm CET	c815fdee45474b4157cbb87579be31c6	1	1	1	1	1	4	4	4	1	1	1	1	Going on a fairground ride	Going on a fairground ride	minutes	minutes	4	4	3	2	3	4	2	1	2	1	4	4	3	2	1	5	5	2	2	3	3	2	3	No, I participated before and answered the next set of questions.	23	Female	High school	British	1.0	5.0	6.0	7.0	2.0	7.0	7.0	4.0	3.0	6.0	The event really happened in my life.	COPIED FROM: text id 6377
4264	round-4	relief	41219	2021/09/20 1:06:59 am EET	9017bc8c4cec34f1aed5aedee2bbc9fa	2	4	1	2	1	3	3	3	1	1	1	3	Caught my bus that I was running for	Caught my bus that I was running for	seconds	minutes	3	5	5	5	5	2	4	2	1	5	1	5	1	4	5	1	1	5	1	1	4	1	3	No, I participated before and answered the next set of questions.	26	Male	Undergraduate degree (BA/BSc/other)	European	5.0	5.0	7.0	7.0	2.0	5.0	4.0	2.0	4.0	6.0	--	COPIED FROM: text id 41159
6152	round-3	trust	31364	2021/09/03 10:37:28 pm EET	53f0cfb20da565fe22ed2094edb51767	3	2	4	2	3	2	4	2	3	2	3	2	when I asked my friend to look after my dogs when on holiday	when I asked my friend to look after my dogs when on holiday	days	days	2	5	1	4	5	5	1	1	1	5	5	5	5	1	3	5	1	5	1	1	3	1	2	No, I participated before and answered the next set of questions.	21	Male	High school	European	5.0	5.0	4.0	5.0	4.0	6.0	5.0	6.0	6.0	6.0	--	COPIED FROM: text id 3226
1369	round-5	disgust	5597	2021/10/06 2:08:21 pm EET	57594c2ef2127edc4087108f34b9e866	4	3	3	3	3	3	3	3	3	3	3	3	my partner gave me an Infection	my partner gave me an Infection	days	days	5	5	5	1	1	1	5	5	1	1	5	1	1	5	1	5	1	1	5	5	5	3	3	No, I participated before and answered the next set of questions.	29	Female	Undergraduate degree (BA/BSc/other)	European	5.0	5.0	5.0	5.0	5.0	5.0	6.0	3.0	5.0	1.0	The event really happened in my life.	COPIED FROM: text id 588
4783	round-3	sadness	31079	2021/09/03 10:45:03 pm EET	a68fe5dd5491a8e5c563291e0ee30617	1	2	1	1	2	4	3	1	1	1	1	4	my grandpa died. He'd been ill for a number of months.	my grandpa died. He'd been ill for a number of months.	seconds	weeks	5	5	1	2	4	1	5	5	5	1	1	4	1	5	1	1	5	2	3	1	4	3	4	No, I participated before and answered the next set of questions.	27	Female	Graduate degree (MA/MSc/MPhil/other)	European	5.0	2.0	5.0	3.0	5.0	4.0	6.0	4.0	6.0	3.0	--	COPIED FROM: text id 3965
3887	round-5	pride	51606	2021/10/06 3:01:27 pm EET	a29d4665a6fc4108780634bd7d4cdeb6	1	3	1	1	1	1	1	1	1	1	1	1	When I gotMy recent job promotion	When I gotMy recent job promotion	minutes	minutes	4	4	3	3	4	4	1	2	1	5	3	4	5	3	1	5	1	5	1	1	3	3	3	Yes, first time, I will answer the following questions.	24	Female	Undergraduate degree (BA/BSc/other)	European	4.0	3.0	2.0	5.0	6.0	5.0	6.0	6.0	5.0	1.0	The event really happened in my life.	ORIGINAL
5158	round-6	sadness	6900	2021/11/01 10:06:40 pm CET	c311c9f7d4fa84952f86c83253b6817e	1	5	1	3	2	3	1	2	1	2	1	3	I get quite anxious and sad when I think about my family, because we do not often speak	I get quite anxious and ... when I think about my family, because we do not often speak	weeks	weeks	5	5	4	5	5	1	5	5	1	5	5	5	1	4	5	1	1	1	4	3	1	5	2	No, I participated before and answered the next set of questions.	24	Male	Undergraduate degree (BA/BSc/other)	North American	2.0	6.0	5.0	5.0	5.0	7.0	2.0	6.0	5.0	2.0	The event really happened in my life.	COPIED FROM: text id 6956
4263	round-4	relief	41218	2021/09/20 12:58:59 am EET	2ba9c61e159782115ac217c3108bb024	1	2	1	3	1	4	4	1	1	1	1	4	I moved out of my parents’ home	I moved out of my parents’ home	weeks	weeks	4	5	4	3	4	5	1	5	2	5	1	5	5	4	3	3	2	4	2	1	4	1	4	No, I participated before and answered the next set of questions.	30	Female	Graduate degree (MA/MSc/MPhil/other)	UK	1.5	3.0	7.0	6.0	7.0	7.0	7.0	3.5	5.5	3.0	--	AVERAGED: text id 4263, 41929
4882	round-4	sadness	41516	2021/09/20 2:15:11 am EET	473cb889d5251e5d1db3426994eff442	1	1	1	1	1	1	1	1	1	1	1	1	When my ex boyfriend told me his mother started to abuse him. Attacking him with brooms, nail clippers, and just in general beating him.	When my ex boyfriend told me his mother started to abuse him. Attacking him with brooms, nail clippers, and just in general beating him.	weeks	weeks	5	5	5	3	1	1	5	1	1	1	5	3	1	5	1	5	1	3	5	5	5	5	5	No, I participated before and answered the next set of questions.	22	Female	High school	European	2.0	5.0	6.0	6.0	5.0	7.0	5.0	1.0	4.0	1.0	--	COPIED FROM: text id 41449
4916	round-4	sadness	41460	2021/09/20 1:11:39 am EET	1ae70ca62bcbcc0ef3d4eb3fc89fd0f0	1	2	1	1	1	2	1	1	2	1	1	3	I felt sadness when I had a night out planned and friends cancelled. I was sad as they knew how much this meant to me and they cancelled at the last minute, to which I then saw them out elsewhere.	I felt ... when I had a night out planned and friends cancelled. I was ... as they knew how much this meant to me and they cancelled at the last minute, to which I then saw them out elsewhere.	hours	hours	3	4	3	2	2	1	4	2	2	2	5	2	3	2	2	5	1	2	2	1	3	3	2	No, I participated before and answered the next set of questions.	23	Male	High school	European	5.0	3.0	7.0	5.0	6.0	3.0	6.0	2.0	5.0	2.0	--	COPIED FROM: text id 4396
116	round-3	anger	386	2021/09/03 4:49:48 pm EET	4b9d4ae7e399fbf203de775cab342135	1	2	1	1	1	2	3	3	1	1	1	4	When I got a speeding ticket when I was right around the corner from my home. I was mad at myself because I didn't realize I was speeding and financially I can't afford to pay a fine right now. Also the cop talked to me in a very belittled manner.	When I got a speeding ticket when I was right around the corner from my home. I was ... at myself because I didn't realize I was speeding and financially I can't afford to pay a fine right now. Also the cop talked to me in a very belittled manner.	minutes	hours	2	5	4	4	3	1	5	2	2	5	2	5	1	5	1	5	2	5	3	3	5	5	4	Yes, first time, I will answer the following questions.	26	Female	High school	Indigenous	5.0	5.0	5.0	6.0	7.0	5.0	6.0	5.0	5.0	2.0	--	ORIGINAL
1648	round-7	disgust	757	2021/11/09 11:31:59 pm CET	a068c41780b40f1031001b0c5812f945	1	2	1	1	1	1	1	2	1	1	1	1	when i found a slug in my cat's food bowl	when i found a slug in my cat's food bowl	seconds	minutes	3	4	4	3	2	1	4	2	4	2	2	2	1	5	4	1	4	4	5	2	4	3	2	No, I participated before and answered the next set of questions.	40	Female	Undergraduate degree (BA/BSc/other)	European	3.0	2.0	5.0	6.0	6.0	1.0	6.0	5.0	3.0	1.0	The event really happened in my life.	COPIED FROM REJECTED: text id 75
5127	round-6	sadness	6845	2021/11/01 9:33:29 pm CET	ac9b58fbbf3829def5e7dd36d41a2ba0	1	2	1	1	1	1	1	1	1	1	1	1	My mum fell out with me and we didn’t speak for many weeks	My mum fell out with me and we didn’t speak for many weeks	weeks	weeks	5	5	5	1	1	1	5	1	5	1	4	1	3	3	3	3	1	1	3	1	3	3	4	No, I participated before and answered the next set of questions.	44	Female	Graduate degree (MA/MSc/MPhil/other)	European	5.0	6.0	7.0	5.0	3.0	5.0	7.0	1.0	5.0	7.0	The event really happened in my life.	COPIED FROM: text id 6204
777	round-5	boredom	5331	2021/10/06 12:14:52 pm EET	278847b36d48355f6409803ae21763d3	2	1	2	3	4	3	2	2	3	4	1	3	I felt boredom when I used to have to go and sit through my brother's trombone practice	I felt ... when I used to have to go and sit through my brother's trombone practice	hours	hours	3	3	1	5	5	3	2	2	2	1	5	2	5	2	2	4	1	4	2	1	2	5	3	Yes, first time, I will answer the following questions.	36	Male	Graduate degree (MA/MSc/MPhil/other)	European	2.0	2.0	6.0	6.0	5.0	7.0	6.0	6.0	4.0	2.0	The event really happened in my life.	ORIGINAL
6564	round-6	trust	61069	2021/11/01 10:05:21 pm CET	9b1e5aa24a6644e4d11bed84e913d6ed	1	1	1	1	1	1	1	1	1	1	1	1	I met my husband . He made me trust myself	I met my husband . He made me ... myself	weeks	weeks	5	5	1	1	2	5	1	5	1	5	5	3	5	3	2	5	1	1	1	1	4	1	5	No, I participated before and answered the next set of questions.	43	Female	Graduate degree (MA/MSc/MPhil/other)	South Asian	5.0	1.0	5.0	6.0	4.0	6.0	6.0	1.0	4.0	1.0	The event really happened in my life.	COPIED FROM: text id 6959
5172	round-6	sadness	6918	2021/11/01 10:09:01 pm CET	d8205beeabc0fa1993d04a0755ed814c	4	1	1	2	3	2	3	2	2	1	2	3	my husband has become very distant from his family and has only interests in gaming and gambling.	my husband has become very distant from his family and has only interests in gaming and gambling.	weeks	weeks	4	4	2	4	4	1	5	4	4	2	4	4	1	2	2	3	2	1	3	2	3	4	5	No, I participated before and answered the next set of questions.	35	Female	Undergraduate degree (BA/BSc/other)	European	5.0	3.0	5.0	5.0	5.0	6.0	6.0	2.0	5.0	2.0	The event really happened in my life.	COPIED FROM REJECTED: text id 6514
912	round-5	boredom	5457	2021/10/06 3:26:46 pm EET	ee9f6a1d1d55ed0383207b7fc8e4ef9d	1	2	1	1	1	1	1	1	1	1	1	1	During a vacation to Sri Lanka I got incredibly sunburnt and was unable to leave my hotel room for a couple of days with no forms of entertainment.	During a vacation to Sri Lanka I got incredibly sunburnt and was unable to leave my hotel room for a couple of days with no forms of entertainment.	days	days	3	5	2	4	3	1	5	1	3	5	1	3	1	1	1	1	3	5	1	1	1	3	2	No, I participated before and answered the next set of questions.	29	Male	Undergraduate degree (BA/BSc/other)	European	4.0	3.0	5.0	2.0	6.0	5.0	7.0	3.0	6.0	6.0	The event really happened in my life.	COPIED FROM: text id 51884
2688	round-4	joy	4883	2021/09/20 2:17:03 am EET	69b274a6a80ef9e0ab23c244d1c2c22f	1	3	1	1	1	3	1	1	1	1	1	1	I felt joy when I saw my favourite band in concert.	I felt ... when I saw my favourite band in concert.	hours	days	3	5	1	3	3	5	1	3	1	1	5	2	2	2	1	5	1	1	1	1	2	1	2	No, I participated before and answered the next set of questions.	22	Female	Undergraduate degree (BA/BSc/other)	Australian/New Zealander	2.0	3.0	5.0	7.0	6.0	7.0	6.0	6.0	3.0	2.0	--	COPIED FROM: text id 41726
6479	round-5	trust	52812	2021/10/06 6:32:34 pm EET	49d498b5f467ba84b073f8950ac02005	1	4	1	1	1	2	1	1	3	1	1	1	I felt trust when my friend listened to me talk about and helped me through something personal	I felt ... when my friend listened to me talk about and helped me through something personal	days	days	5	5	4	4	4	1	4	4	3	1	4	4	2	2	3	4	3	4	4	1	4	4	5	No, I participated before and answered the next set of questions.	19	Female	High school	European	5.0	3.0	6.0	6.0	6.0	5.0	6.0	1.0	5.0	1.0	The event really happened in my life.	COPIED FROM REJECTED: text id 51701
2770	round-5	joy	51104	2021/10/06 2:42:15 pm EET	88901e5345854244e540f777f5716507	1	1	1	1	1	3	1	1	1	1	1	1	My daughter was born. Although it was a scary and chaotic birth, her arrival into the world has brought so much joy to my life.	My daughter was born. Although it was a scary and chaotic birth, her arrival into the world has brought so much ... to my life.	hours	weeks	5	5	3	1	5	1	5	5	1	5	5	5	5	5	1	5	1	5	1	1	5	5	5	No, I participated before and answered the next set of questions.	36	Female	Graduate degree (MA/MSc/MPhil/other)	European	4.0	2.0	7.0	6.0	4.0	5.0	7.0	4.0	4.0	5.0	The event really happened in my life.	COPIED FROM: text id 5780
3657	round-3	pride	3817	2021/09/03 10:17:44 pm EET	4e2648f22d278ef01a9a682893df7856	1	4	1	1	2	3	2	4	2	2	1	3	I graduated with my associates degree in psychology.	I graduated with my associates degree in psychology.	minutes	days	4	5	1	2	5	5	1	5	1	5	2	5	5	3	5	1	1	5	1	1	4	1	2	Yes, first time, I will answer the following questions.	33	Female	Undergraduate degree (BA/BSc/other)	North American	2.0	1.0	6.0	5.0	5.0	7.0	7.0	3.0	5.0	2.0	--	ORIGINAL
4510	round-5	relief	52005	2021/10/06 5:37:46 pm EET	86d1336e3cc4f30ed8a0a422b29f72a8	1	5	1	1	1	1	1	1	1	1	1	1	the midwife did my antenatal check today and the baby was totally fine and healthy.	the midwife did my antenatal check today and the baby was totally fine and healthy.	minutes	hours	4	5	1	4	3	5	1	5	1	3	3	4	5	4	3	3	4	1	1	1	4	1	3	No, I participated before and answered the next set of questions.	35	Female	Undergraduate degree (BA/BSc/other)	South Asian	4.5	4.5	5.5	5.0	4.5	3.0	5.0	1.5	4.5	4.0	The event really happened in my life.	AVERAGED: text id 5959, 52707
6196	round-4	trust	41850	2021/09/20 2:06:35 am EET	206ae820aafac88dba4211e39de024c3	2	5	4	4	3	4	2	4	3	3	2	2	I was with my wife	I was with my wife	weeks	weeks	5	5	1	5	5	5	1	5	5	5	5	3	5	5	4	5	4	5	4	4	4	1	2	Yes, first time, I will answer the following questions.	27	Male	Undergraduate degree (BA/BSc/other)	South Asian	3.0	4.2	3.4	3.4	4.0	3.8	3.8	3.8	3.4	3.4	--	AVERAGED: text id 4566, 4698, 41604, 41761, 41850
34	round-3	anger	3108	2021/09/03 4:25:06 pm EET	35329ebc672688e893691f04f2fb2cde	1	3	1	1	1	2	1	1	1	1	1	2	I lost a very heated game of League of Legends	I lost a very heated game of League of Legends	minutes	hours	4	5	3	4	5	1	4	1	2	3	5	5	1	2	3	5	1	5	1	1	5	4	4	No, I participated before and answered the next set of questions.	29	Male	Undergraduate degree (BA/BSc/other)	European	2.0	3.0	3.0	1.0	7.0	7.0	5.0	5.0	6.0	6.0	--	COPIED FROM: text id 312
5415	round-5	shame	52318	2021/10/06 2:45:06 pm EET	953f56458258bdc8d74735c7a62ff5a3	1	2	1	1	2	1	1	1	1	1	1	1	It was a night where me and my housemates had been having drinks at home to celebrate a new house mate arriving. We had been playing a drinking game, which I lost, which made me drunker than I had initially intended to be. Following this, I sent some text messages causing an argument between me and someone close to me. I woke up in the morning with no memory of having sent these messages until I checked my phone to reply to something else they had sent me. When I read back through the texts I felt awful and a genuine sense of shame for having said what I said to someone who was important to me who I know isn't the type of person I was suggesting in the texts.	It was a night where me and my housemates had been having drinks at home to celebrate a new house mate arriving. We had been playing a drinking game, which I lost, which made me drunker than I had initially intended to be. Following this, I sent some text messages causing an argument between me and someone close to me. I woke up in the morning with no memory of having sent these messages until I checked my phone to reply to something else they had sent me. When I read back through the texts I felt awful and a genuine sense of ... for having said what I said to someone who was important to me who I know isn't the type of person I was suggesting in the texts.	hours	days	5	5	4	2	2	1	5	3	4	5	1	2	1	5	4	2	1	3	4	1	4	5	4	No, I participated before and answered the next set of questions.	23	Female	Undergraduate degree (BA/BSc/other)	European	5.0	2.0	7.0	5.0	6.0	6.0	7.0	1.0	6.0	3.0	The event really happened in my life.	COPIED FROM: text id 5980
6453	round-5	trust	52873	2021/10/06 6:29:48 pm EET	df087a56d8f0f7e54f6daae909dce389	1	1	1	1	1	3	3	3	1	1	1	3	I felt trust when I left my children with a friend.	I felt ... when I left my children with a friend.	hours	hours	3	5	1	5	5	5	1	1	1	3	1	2	3	2	3	3	1	1	1	1	2	5	2	Yes, first time, I will answer the following questions.	31	Male	High school	European	3.6	4.8	5.0	3.9	3.9	4.0	4.9	3.0	5.0	4.0	The event really happened in my life.	AVERAGED: text id 5317, 5493, 5519, 5742, 51017, 51476, 52304, 52573, 52873
3927	round-5	pride	51651	2021/10/06 3:06:51 pm EET	e0e1980ad8b33487c53c48e57954ec79	1	2	1	1	2	4	3	2	1	1	1	2	My son graduated from university	My son graduated from university	hours	weeks	5	5	1	4	5	5	1	2	1	1	5	4	4	3	2	5	1	1	1	1	4	1	3	No, I participated before and answered the next set of questions.	53	Female	Undergraduate degree (BA/BSc/other)	European	3.0	3.0	6.0	6.0	5.0	5.0	6.0	2.0	3.0	6.0	The event really happened in my life.	COPIED FROM: text id 5303
6270	round-4	trust	41919	2021/09/20 12:41:47 am EET	a23520ce04159cc8edb89e770a849da9	1	3	1	1	1	2	1	1	3	1	1	1	I was able to confide in my friend	I was able to confide in my friend	weeks	hours	4	4	3	4	1	2	4	1	2	4	2	2	1	2	1	2	3	4	1	1	3	3	4	Yes, first time, I will answer the following questions.	22	Female	High school	Prefer not to answer	5.0	4.0	6.0	5.0	6.0	3.0	6.0	2.0	3.0	5.0	--	ORIGINAL
4661	round-6	relief	6809	2021/11/01 10:08:10 pm CET	d010fd843a6a7c196d153f39f5571264	3	2	1	1	1	2	1	1	3	1	1	1	I found out I did not have cancer	I found out I did not have cancer	days	weeks	4	5	2	1	1	5	1	5	3	3	4	5	3	2	3	4	1	3	2	1	4	4	5	Yes, first time, I will answer the following questions.	24	Female	Graduate degree (MA/MSc/MPhil/other)	North American	6.0	5.0	7.0	7.0	6.0	3.0	5.0	1.0	2.0	2.0	The event really happened in my life.	ORIGINAL
